fixture,tool,format,raster_density,primary,previous_median_ms,current_median_ms,latency_change_percent,speedup,previous_width,previous_height,current_width,current_height,output_unchanged
leios_simulator,mermaid-dagre,svg,,True,408.643937,430.86512500000003,5.4377872734717725,0.9484265801275978,1544.5263671875,2918,1544.5263671875,2918,True
leios_simulator,graphviz-dot,png,2.0,True,309.11504149999996,326.985271,5.781093476811616,0.9453485184658362,6386,2335,6386,2335,True
leios_simulator,graphviz-dot,svg,,True,77.177417,78.820938,2.129536156930456,0.9791486749371088,2395pt,876pt,2395pt,876pt,True
leios_simulator,plantuml-dot,png,2.0,True,1219.6883335000002,1309.3759375,7.35332146226515,0.9315035495678645,4939,2302,4939,2302,True
leios_simulator,plantuml-dot,svg,,True,903.8696045,911.442375,0.837816700804872,0.9916914434661874,2470px,1152px,2470px,1152px,True
lion_reader_frontend,d2-dagre,png,2.0,True,409.856396,416.6601665,1.6600376537737382,0.9836706960563268,7156,6370,7156,6370,True
lion_reader_frontend,d2-dagre,svg,,True,28.836271,30.2474795,4.89386613130387,0.9533445919022773,,,,,True
lion_reader_frontend,d2-tala,png,2.0,True,337.936583,354.468604,4.892048340324262,0.9533611134711382,4014,6550,4014,6550,True
lion_reader_frontend,d2-tala,svg,,True,103.835021,107.4228545,3.4553212061275485,0.9666008363238942,,,,,True
lion_reader_frontend,mermaid-dagre,png,2.0,True,635.9529585,661.2606665000001,3.9794937128199592,0.9617280910810079,4942,3598,4942,3598,True
lion_reader_frontend,mermaid-dagre,svg,,True,418.1186665,446.20289549999995,6.716808229368998,0.9370595097359695,2470.7734375,1799,2470.7734375,1799,True
lion_reader_frontend,graphviz-dot,png,2.0,True,289.14437499999997,297.63975,2.9381083412049813,0.9714575254145321,4369,2403,4369,2403,True
lion_reader_frontend,graphviz-dot,svg,,True,76.8505205,77.87997899999999,1.3395595674592586,0.9867814743504234,1638pt,901pt,1638pt,901pt,True
lion_reader_frontend,plantuml-dot,png,2.0,True,1280.4601665,1311.0402295,2.3882088486662623,0.9766749621316636,3541,2250,3541,2250,True
lion_reader_frontend,plantuml-dot,svg,,True,893.149083,903.3177705,1.1385207345054216,0.9887429564300816,1771px,1126px,1771px,1126px,True
mocha_soc,d2-dagre,png,2.0,True,427.223208,443.763125,3.8714930954780957,0.962728050015422,12382,3976,12382,3976,True
mocha_soc,d2-dagre,svg,,True,30.358375000000002,30.186688,-0.565534222434505,1.0056875070229634,,,,,True
mocha_soc,d2-tala,png,2.0,True,448.131396,423.40202050000005,-5.518331391358244,1.0584063710201401,5472,5022,5136,4862,False
mocha_soc,d2-tala,svg,,True,219.7628755,234.5454995,6.726624761514821,0.9369733206072454,,,,,False
mocha_soc,mermaid-dagre,png,2.0,True,857.7344370000001,870.776771,1.5205561811901358,0.985022184290674,11722,3702,11722,3702,True
mocha_soc,mermaid-dagre,svg,,True,414.5221665,417.3225835,0.6755771406979694,0.993289562772967,5860.640625,1851,5860.640625,1851,True
mocha_soc,graphviz-dot,png,2.0,True,511.8792085,523.963521,2.360774241136232,0.976936729341507,6948,3210,6948,3210,True
mocha_soc,graphviz-dot,svg,,True,67.499063,67.8745,0.556210683991254,0.9944686590693119,2606pt,1204pt,2606pt,1204pt,True
mocha_soc,plantuml-dot,png,2.0,True,1979.1421045000002,2021.8431249999999,2.15755202230854,0.9788801514954333,9292,2965,9292,2965,True
mocha_soc,plantuml-dot,svg,,True,890.6250215,928.245729,4.224079336625741,0.95947117630099,4647px,1483px,4647px,1483px,True
queue_workers,d2-dagre,png,2.0,True,538.1244375,560.2675835,4.114874638080335,0.9604775527763512,8000,3452,8000,3452,True
queue_workers,d2-dagre,svg,,True,28.031520999999998,28.199208,0.5982087094025257,0.9940534854737764,,,,,True
queue_workers,d2-tala,png,2.0,True,705.4667085,701.3367920000001,-0.5854162145767505,1.0058886351708751,4982,5668,5906,4498,False
queue_workers,d2-tala,svg,,True,222.396542,219.612667,-1.2517618192103064,1.0126762952157036,,,,,False
queue_workers,mermaid-dagre,png,2.0,True,568.428,608.5475005,7.057974009021373,0.9340733460131927,4568,2016,4568,2016,True
queue_workers,mermaid-dagre,svg,,True,427.8364375,452.8867915,5.855124015705182,0.9446873822108366,2283.43603515625,1007.14208984375,2283.43603515625,1007.14208984375,True
