job,group,previous_ms,current_ms,previous_over_current,paired_ci95_low,paired_ci95_high
jupyter_k8s_oidc/d2-dagre/svg,svg,20.2950205,20.0962715,1.0098898444918003,0.9768179860202021,1.0229533784267104
leios_simulator/d2-dagre/svg,svg,23.175521,23.028438,1.006387015914844,0.9810937691669497,1.049264848093625
lion_reader_frontend/d2-dagre/svg,svg,28.874146,28.752583,1.0042278984117705,0.9602946118831505,1.0461028355277064
mocha_soc/d2-dagre/svg,svg,30.0464585,28.9212505,1.038905924901138,1.0177097724381512,1.0906795891126457
queue_workers/d2-dagre/svg,svg,27.0823545,25.811125,1.0492512240361471,1.0191771536817231,1.085071444327345
ross_overview/d2-dagre/svg,svg,24.1859995,23.8782085,1.0128900373744538,0.9802187444919809,1.0386274515910494
spyre_encoder/d2-dagre/svg,svg,34.0378955,30.331563000000003,1.1221939172735673,1.0735622508884932,1.134056898887256
tpmjs_architecture/d2-dagre/svg,svg,123.445583,90.5269375,1.3636337029516767,1.3232414888436022,1.3838238259192188
tpmjs_architecture/d2-dagre/png,png-supplemental,367.29281249999997,302.3317295,1.2148669049968173,1.191237800487737,1.229453531439544
basic_002/d2-tala/png,basic-2-png-primary,24.9301665,25.05075,0.9951864315439657,0.958952934649865,1.0161241187665935
basic_002/d2-tala/svg,basic-2-svg,21.464875,21.1908955,1.0129291138262655,0.9833922526326307,1.0218805190412705
basic_010/d2-tala/png,basic-10-png-primary,37.344021,37.098791500000004,1.0066101748893894,0.9767168311261368,1.038504598622879
basic_010/d2-tala/svg,basic-10-svg,21.2909375,20.772896000000003,1.0249383379187955,1.0041759895839069,1.071841063202751
basic_100/d2-tala/png,basic-100-png-primary,402.125292,371.21360400000003,1.0832719697417124,1.0274626806530835,1.1104764775548208
basic_100/d2-tala/svg,basic-100-svg,135.893125,107.464042,1.264545074528278,1.2494637239437931,1.3248079421053547
fulcro_rad/d2-tala/png,png-primary,239.376125,242.261396,0.988090256856276,0.9564637697447216,1.0073897779849197
jupyter_aws_eks/d2-tala/png,png-primary,118.37854150000001,116.9233745,1.0124454755622883,1.0021727794194335,1.0591946268919317
jupyter_k8s_oidc/d2-tala/png,png-primary,129.3477705,126.48108350000001,1.0226649465728208,1.009782368701438,1.0380462141509788
leios_simulator/d2-tala/png,png-primary,289.6896455,287.4598335,1.0077569515464149,0.9852927014766636,1.016283953361875
lion_reader_frontend/d2-tala/png,png-primary,339.750042,336.204708,1.010545164644155,0.9884762678576173,1.023896700764777
mocha_soc/d2-tala/png,png-primary,452.7181875,417.047625,1.0855311488705877,1.0411227285840952,1.1362585462025545
queue_workers/d2-tala/png,png-primary,702.7342285,693.939208,1.012674050404715,0.9844027511078088,1.032321563695069
ross_overview/d2-tala/png,png-primary,471.630854,440.9826255,1.0694998549324932,1.037863028854287,1.0833212318474685
spyre_encoder/d2-tala/png,png-primary,395.0839375,396.452,0.9965492354686065,0.97362435866417,1.0238496469550662
fulcro_rad/d2-tala/svg,svg,128.191917,127.03679149999999,1.0090928422102032,0.9773288890329302,1.0491908007610535
jupyter_aws_eks/d2-tala/svg,svg,29.681354,28.9195,1.0263439547710023,1.0045673377597677,1.0830941752104981
jupyter_k8s_oidc/d2-tala/svg,svg,33.5031665,32.0299375,1.045995375420261,1.0281904743778438,1.0693039954400294
leios_simulator/d2-tala/svg,svg,42.423249999999996,40.561104,1.0459096478241814,1.011692182222087,1.1006351241390424
lion_reader_frontend/d2-tala/svg,svg,103.929687,101.1994375,1.0269788999568303,0.9803132775499069,1.072954983841805
mocha_soc/d2-tala/svg,svg,228.3401045,218.5701455,1.044699421220818,1.0217844312190576,1.106205190607332
queue_workers/d2-tala/svg,svg,224.438833,213.762562,1.0499445314469986,1.0174475745269953,1.089102151286799
ross_overview/d2-tala/svg,svg,115.6702085,108.045062,1.0705737620845643,1.0480926658628373,1.1211013340247944
spyre_encoder/d2-tala/svg,svg,86.470083,87.99437499999999,0.9826773927310696,0.9576840356059868,1.0264444475058316
tpmjs_architecture/d2-tala/svg,svg,3572.4689375,2675.0996455000004,1.335452660056808,1.3120042713413231,1.4125528600699706
tpmjs_architecture/d2-tala/png,png-supplemental,3795.295458,2780.046312,1.3651914508106224,1.3226595252288513,1.4130131977175107
