fixture,category,node_count,group,tool,format,raster_density,primary,eligible,expected_measured,measured_attempts,successes,failures,missing_measurements,median_ms,ci95_low_ms,ci95_high_ms,min_ms,q25_ms,q75_ms,p95_ms,max_ms,measured_output_hash_count,output_stable,output
jupyter_k8s_oidc,real-world,23,svg,d2-dagre,svg,,True,True,20,20,20,0,0,22.0212505,20.232979,30.665104,19.226042,20.16810425,32.541270499999996,36.058970550000005,37.308459,1,True,renders/d2-dagre/jupyter_k8s_oidc.svg
jupyter_k8s_oidc,real-world,23,png-primary,d2-tala,png,2.0,True,True,20,20,20,0,0,117.16006300000001,115.461229,118.996396,113.437041,115.27209400000001,119.6076145,139.3125649,170.435,1,True,renders/d2-tala/jupyter_k8s_oidc.png
jupyter_k8s_oidc,real-world,23,svg,d2-tala,svg,,True,True,20,20,20,0,0,33.054625,31.5000835,39.148959,30.411042,31.29904175,42.92778175,49.02284650000001,53.445334,1,True,renders/d2-tala/jupyter_k8s_oidc.svg
jupyter_k8s_oidc,real-world,23,png-primary,mermaid-dagre,png,2.0,True,True,20,20,20,0,0,652.862166,646.3888750000001,672.848896,633.660625,645.86993725,674.7132705,718.1021211500001,842.404,1,True,renders/mermaid-dagre/jupyter_k8s_oidc.png
jupyter_k8s_oidc,real-world,23,svg,mermaid-dagre,svg,,True,True,20,20,20,0,0,429.32681249999996,417.2036455,436.941042,407.383709,415.7794895,439.519594,456.42487055000004,491.238334,1,True,renders/mermaid-dagre/jupyter_k8s_oidc.svg
jupyter_k8s_oidc,real-world,23,png-primary,graphviz-dot,png,2.0,True,True,20,20,20,0,0,294.4668335,292.3508335,302.3183335,288.046709,292.05834400000003,305.79494800000003,332.9456628,344.621083,1,True,renders/graphviz-dot/jupyter_k8s_oidc.png
jupyter_k8s_oidc,real-world,23,svg,graphviz-dot,svg,,True,True,20,20,20,0,0,77.192937,76.011729,78.041854,73.464667,75.85074975,78.10266675,84.1192997,97.454292,1,True,renders/graphviz-dot/jupyter_k8s_oidc.svg
jupyter_k8s_oidc,real-world,23,png-primary,plantuml-dot,png,2.0,True,True,20,20,20,0,0,1275.370271,1258.023291,1289.4806875,1198.446583,1257.2034792499999,1291.75232325,1330.95049375,1349.731875,1,True,renders/plantuml-dot/jupyter_k8s_oidc.png
jupyter_k8s_oidc,real-world,23,svg,plantuml-dot,svg,,True,True,20,20,20,0,0,924.7903125,915.5722295,943.849917,867.805,913.514875,944.63711475,958.75310355,961.435667,1,True,renders/plantuml-dot/jupyter_k8s_oidc.svg
leios_simulator,real-world,20,png-primary,d2-dagre,png,2.0,True,True,20,20,20,0,0,239.136375,236.3037085,247.71925,232.455625,235.932094,248.39359375,265.93225980000005,280.849042,1,True,renders/d2-dagre/leios_simulator.png
